date,isin,fund,operation,amount_eur
2020-07-28,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2020-07-28,LU0823425839,BNP Paribas China Equity,buy,50.00
2020-07-28,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2020-06-30,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2020-06-30,LU0823425839,BNP Paribas China Equity,buy,50.00
2020-06-30,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2020-05-28,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2020-05-28,LU0823425839,BNP Paribas China Equity,buy,50.00
2020-05-28,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2020-04-28,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2020-04-28,LU0823425839,BNP Paribas China Equity,buy,50.00
2020-04-28,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2020-03-30,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2020-03-30,LU0823425839,BNP Paribas China Equity,buy,50.00
2020-03-30,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2020-02-28,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2020-02-28,LU0823425839,BNP Paribas China Equity,buy,50.00
2020-02-28,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2020-01-28,LU0823421689,BNP Paribas Disruptive Technology,buy,50.00
2020-01-29,LU0823425839,BNP Paribas China Equity,buy,50.00
2020-01-28,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,50.00
2019-12-30,LU0823421689,BNP Paribas Disruptive Technology,buy,15.00
2019-12-30,LU0823425839,BNP Paribas China Equity,buy,15.00
2019-12-30,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,15.00
2019-11-29,LU0823421689,BNP Paribas Disruptive Technology,buy,40.00
2019-11-28,LU0823425839,BNP Paribas China Equity,buy,40.00
2019-11-29,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,40.00
2019-10-28,LU0823421689,BNP Paribas Disruptive Technology,buy,15.00
2019-10-28,LU0823425839,BNP Paribas China Equity,buy,15.00
2019-10-28,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,15.00
2019-09-26,LU0823421689,BNP Paribas Disruptive Technology,buy,15.00
2019-09-26,LU0823425839,BNP Paribas China Equity,buy,15.00
2019-09-26,LU0119195450,Goldman Sachs Patrimonial Aggressive,buy,15.00
